Sequence,Volt,-2.34E-04,5.00E-07
534,6.64E+00,,
535,6.80E+00,,
536,6.64E+00,,
537,6.80E+00,,
538,6.64E+00,,
539,6.80E+00,,
540,6.72E+00,,
541,6.88E+00,,
542,6.72E+00,,
543,6.88E+00,,
544,6.88E+00,,
545,6.72E+00,,
546,6.72E+00,,
547,6.88E+00,,
548,6.88E+00,,
549,6.72E+00,,
550,6.88E+00,,
551,6.72E+00,,
552,6.88E+00,,
553,6.72E+00,,
554,6.72E+00,,
555,6.88E+00,,
556,6.80E+00,,
557,6.64E+00,,
558,6.80E+00,,
559,6.64E+00,,
560,6.64E+00,,
561,6.80E+00,,
562,6.80E+00,,
563,6.56E+00,,
564,6.72E+00,,
565,6.56E+00,,
566,6.56E+00,,
567,6.72E+00,,
568,6.64E+00,,
569,6.48E+00,,
570,6.48E+00,,
571,6.64E+00,,
572,6.64E+00,,
573,6.40E+00,,
574,6.40E+00,,
575,6.56E+00,,
576,6.56E+00,,
577,6.32E+00,,
578,6.32E+00,,
579,6.48E+00,,
580,6.48E+00,,
581,6.24E+00,,
582,6.24E+00,,
583,6.40E+00,,
584,6.32E+00,,
585,6.16E+00,,
586,6.32E+00,,
587,6.08E+00,,
588,6.08E+00,,
589,6.24E+00,,
590,6.16E+00,,
591,6.00E+00,,
592,6.00E+00,,
593,6.16E+00,,
594,6.08E+00,,
595,5.92E+00,,
596,5.92E+00,,
597,6.00E+00,,
598,5.92E+00,,
599,5.76E+00,,
600,5.84E+00,,
601,5.92E+00,,
602,5.84E+00,,
603,5.68E+00,,
604,5.84E+00,,
605,5.60E+00,,
606,5.76E+00,,
607,5.60E+00,,
608,5.76E+00,,
609,5.52E+00,,
610,5.68E+00,,
611,5.52E+00,,
612,5.60E+00,,
613,5.44E+00,,
614,5.60E+00,,
615,5.44E+00,,
616,5.52E+00,,
617,5.36E+00,,
618,5.52E+00,,
619,5.36E+00,,
620,5.44E+00,,
621,5.28E+00,,
622,5.28E+00,,
623,5.44E+00,,
624,5.44E+00,,
625,5.28E+00,,
626,5.36E+00,,
627,5.20E+00,,
628,5.36E+00,,
629,5.20E+00,,
630,5.28E+00,,
631,5.12E+00,,
632,5.28E+00,,
633,5.12E+00,,
634,5.28E+00,,
635,5.12E+00,,
636,5.20E+00,,
637,5.04E+00,,
638,5.04E+00,,
639,5.20E+00,,
640,5.04E+00,,
641,5.20E+00,,
642,5.12E+00,,
643,4.96E+00,,
644,5.12E+00,,
645,4.96E+00,,
646,5.12E+00,,
647,4.96E+00,,
648,4.96E+00,,
649,5.12E+00,,
650,5.04E+00,,
651,4.88E+00,,
652,5.04E+00,,
653,4.88E+00,,
654,4.88E+00,,
655,5.04E+00,,
656,4.88E+00,,
657,5.04E+00,,
658,4.88E+00,,
659,5.04E+00,,
660,5.04E+00,,
661,4.88E+00,,
662,4.96E+00,,
663,4.88E+00,,
664,4.96E+00,,
665,4.88E+00,,
666,4.96E+00,,
667,4.80E+00,,
668,4.96E+00,,
669,4.80E+00,,
670,4.96E+00,,
671,4.80E+00,,
672,4.96E+00,,
673,4.80E+00,,
674,4.96E+00,,
675,4.80E+00,,
676,4.96E+00,,
677,4.80E+00,,
678,4.80E+00,,
679,4.96E+00,,
680,4.96E+00,,
681,4.80E+00,,
682,4.80E+00,,
683,4.96E+00,,
684,4.96E+00,,
685,4.80E+00,,
686,4.96E+00,,
687,4.80E+00,,
688,4.96E+00,,
689,4.80E+00,,
690,4.96E+00,,
691,4.80E+00,,
692,4.96E+00,,
693,4.88E+00,,
694,4.96E+00,,
695,4.88E+00,,
696,4.88E+00,,
697,4.96E+00,,
698,4.88E+00,,
699,5.04E+00,,
700,4.88E+00,,
701,5.04E+00,,
702,4.88E+00,,
703,5.04E+00,,
704,5.04E+00,,
705,4.88E+00,,
706,5.04E+00,,
707,4.88E+00,,
708,4.88E+00,,
709,5.04E+00,,
710,4.88E+00,,
711,5.04E+00,,
712,5.04E+00,,
713,4.88E+00,,
714,4.96E+00,,
715,5.04E+00,,
716,5.04E+00,,
717,4.96E+00,,
718,4.96E+00,,
719,5.12E+00,,
720,4.96E+00,,
721,5.12E+00,,
722,5.12E+00,,
723,4.96E+00,,
724,4.96E+00,,
725,5.12E+00,,
726,5.12E+00,,
727,4.96E+00,,
728,4.96E+00,,
729,5.12E+00,,
730,5.12E+00,,
731,4.96E+00,,
732,5.12E+00,,
733,4.96E+00,,
734,5.12E+00,,
735,5.04E+00,,
736,5.12E+00,,
737,5.04E+00,,
738,5.12E+00,,
739,5.04E+00,,
740,5.04E+00,,
741,5.20E+00,,
742,5.04E+00,,
743,5.20E+00,,
744,5.20E+00,,
745,5.04E+00,,
746,5.20E+00,,
747,5.04E+00,,
748,5.20E+00,,
749,5.04E+00,,
750,5.20E+00,,
751,5.04E+00,,
752,5.20E+00,,
753,5.04E+00,,
754,5.04E+00,,
755,5.20E+00,,
756,5.20E+00,,
757,5.04E+00,,
758,5.20E+00,,
759,5.04E+00,,
760,5.20E+00,,
761,5.04E+00,,
762,5.20E+00,,
763,5.04E+00,,
764,5.20E+00,,
765,5.12E+00,,
766,5.20E+00,,
767,5.12E+00,,
768,5.20E+00,,
769,5.12E+00,,
770,5.20E+00,,
771,5.12E+00,,
772,5.20E+00,,
773,5.12E+00,,
774,5.20E+00,,
775,5.12E+00,,
776,5.20E+00,,
777,5.12E+00,,
778,5.28E+00,,
779,5.12E+00,,
780,5.12E+00,,
781,5.28E+00,,
782,5.12E+00,,
783,5.28E+00,,
784,5.12E+00,,
785,5.28E+00,,
786,5.28E+00,,
787,5.12E+00,,
788,5.12E+00,,
789,5.28E+00,,
790,5.12E+00,,
791,5.28E+00,,
792,5.28E+00,,
793,5.12E+00,,
794,5.28E+00,,
795,5.12E+00,,
796,5.28E+00,,
797,5.12E+00,,
798,5.12E+00,,
799,5.28E+00,,
800,5.12E+00,,
801,5.28E+00,,
802,5.12E+00,,
803,5.28E+00,,
804,5.12E+00,,
805,5.28E+00,,
806,5.12E+00,,
807,5.28E+00,,
808,5.12E+00,,
809,5.28E+00,,
810,5.12E+00,,
811,5.28E+00,,
812,5.20E+00,,
813,5.12E+00,,
814,5.20E+00,,
815,5.12E+00,,
816,5.20E+00,,
817,5.12E+00,,
818,5.20E+00,,
819,5.12E+00,,
820,5.20E+00,,
821,5.12E+00,,
822,5.20E+00,,
823,5.12E+00,,
824,5.20E+00,,
825,5.12E+00,,
826,5.12E+00,,
827,5.20E+00,,
828,5.20E+00,,
829,5.12E+00,,
830,5.12E+00,,
831,5.20E+00,,
832,5.20E+00,,
833,5.04E+00,,
834,5.20E+00,,
835,5.04E+00,,
836,5.20E+00,,
837,5.04E+00,,
838,5.20E+00,,
839,5.04E+00,,
840,5.20E+00,,
841,5.04E+00,,
842,5.20E+00,,
843,5.04E+00,,
844,5.20E+00,,
845,5.04E+00,,
846,5.20E+00,,
847,5.04E+00,,
848,5.04E+00,,
849,5.20E+00,,
850,5.04E+00,,
851,5.20E+00,,
852,5.20E+00,,
853,5.04E+00,,
854,5.04E+00,,
855,5.20E+00,,
856,5.20E+00,,
857,5.04E+00,,
858,5.04E+00,,
859,5.20E+00,,
860,5.04E+00,,
861,5.20E+00,,
862,5.20E+00,,
863,5.04E+00,,
864,5.20E+00,,
865,5.04E+00,,
866,5.04E+00,,
867,5.20E+00,,
868,5.04E+00,,
869,5.20E+00,,
870,5.20E+00,,
871,5.04E+00,,
872,5.20E+00,,
873,5.04E+00,,
874,5.20E+00,,
875,5.04E+00,,
876,5.04E+00,,
877,5.20E+00,,
878,5.20E+00,,
879,5.04E+00,,
880,5.20E+00,,
881,5.04E+00,,
882,5.20E+00,,
883,5.04E+00,,
884,5.20E+00,,
885,5.04E+00,,
886,5.04E+00,,
887,5.20E+00,,
888,5.04E+00,,
889,5.20E+00,,
890,5.20E+00,,
891,5.04E+00,,
892,5.20E+00,,
893,5.04E+00,,
894,5.20E+00,,
895,5.04E+00,,
896,5.20E+00,,
897,5.04E+00,,
898,5.20E+00,,
899,5.04E+00,,
900,5.20E+00,,
901,5.04E+00,,
902,5.20E+00,,
903,5.04E+00,,
904,5.20E+00,,
905,5.04E+00,,
906,5.20E+00,,
907,5.04E+00,,
908,5.20E+00,,
909,5.04E+00,,
910,5.20E+00,,
911,5.04E+00,,
912,5.20E+00,,
913,5.04E+00,,
914,5.20E+00,,
915,5.04E+00,,
916,5.20E+00,,
917,5.04E+00,,
918,5.20E+00,,
919,5.04E+00,,
920,5.20E+00,,
921,5.04E+00,,
922,5.20E+00,,
923,5.04E+00,,
924,5.20E+00,,
925,5.04E+00,,
926,5.04E+00,,
927,5.20E+00,,
928,5.20E+00,,
929,5.04E+00,,
930,5.20E+00,,
931,5.04E+00,,
932,5.20E+00,,
933,5.04E+00,,
934,5.20E+00,,
935,5.04E+00,,
936,5.04E+00,,
937,5.20E+00,,
938,5.20E+00,,
939,5.04E+00,,
940,5.20E+00,,
941,5.04E+00,,
942,5.20E+00,,
943,5.04E+00,,
944,5.20E+00,,
945,5.04E+00,,
946,5.20E+00,,
947,5.04E+00,,
948,5.04E+00,,
949,5.20E+00,,
950,5.20E+00,,
951,5.04E+00,,
952,5.04E+00,,
953,5.20E+00,,
954,5.20E+00,,
955,5.04E+00,,
956,5.20E+00,,
957,5.04E+00,,
958,5.20E+00,,
959,5.04E+00,,
960,5.20E+00,,
961,5.04E+00,,
962,5.20E+00,,
963,5.04E+00,,
964,5.04E+00,,
965,5.20E+00,,
966,5.04E+00,,
967,5.20E+00,,
968,5.04E+00,,
969,5.20E+00,,
970,5.20E+00,,
971,5.04E+00,,
972,5.20E+00,,
973,5.04E+00,,
974,5.20E+00,,
975,5.04E+00,,
976,5.04E+00,,
977,5.20E+00,,
978,5.20E+00,,
979,5.04E+00,,
980,5.20E+00,,
981,5.04E+00,,
982,5.20E+00,,
983,5.04E+00,,
984,5.20E+00,,
985,5.04E+00,,
986,5.20E+00,,
987,5.04E+00,,
988,5.20E+00,,
989,5.04E+00,,
990,5.20E+00,,
991,5.04E+00,,
992,5.20E+00,,
993,5.04E+00,,
994,5.20E+00,,
995,5.04E+00,,
996,5.20E+00,,
997,5.04E+00,,
998,5.20E+00,,
999,5.04E+00,,
1000,5.20E+00,,
1001,5.04E+00,,
1002,5.04E+00,,
1003,5.20E+00,,
1004,5.20E+00,,
1005,5.04E+00,,
1006,5.04E+00,,
1007,5.20E+00,,
1008,5.20E+00,,
1009,5.04E+00,,
1010,5.20E+00,,
1011,5.04E+00,,
1012,5.20E+00,,
1013,5.04E+00,,
1014,5.20E+00,,
1015,5.04E+00,,
1016,5.04E+00,,
1017,5.20E+00,,
1018,5.20E+00,,
1019,5.04E+00,,
1020,5.04E+00,,
1021,5.20E+00,,
1022,5.20E+00,,
1023,5.04E+00,,
1024,5.20E+00,,
1025,5.04E+00,,
1026,5.04E+00,,
1027,5.20E+00,,
1028,5.04E+00,,
1029,5.20E+00,,
1030,5.04E+00,,
1031,5.20E+00,,
1032,5.20E+00,,
1033,5.04E+00,,
1034,5.20E+00,,
1035,5.04E+00,,
1036,5.20E+00,,
1037,5.04E+00,,
1038,5.04E+00,,
1039,5.20E+00,,
1040,5.20E+00,,
1041,5.04E+00,,
1042,5.20E+00,,
1043,5.04E+00,,
1044,5.20E+00,,
1045,5.04E+00,,
1046,5.04E+00,,
1047,5.20E+00,,
1048,5.04E+00,,
1049,5.20E+00,,
1050,5.20E+00,,
1051,5.04E+00,,
1052,5.20E+00,,
1053,5.04E+00,,
1054,5.20E+00,,
1055,5.04E+00,,
1056,5.20E+00,,
1057,5.04E+00,,
1058,5.04E+00,,
1059,5.20E+00,,
1060,5.20E+00,,
1061,5.04E+00,,
1062,5.04E+00,,
1063,5.20E+00,,
1064,5.20E+00,,
1065,5.04E+00,,
1066,5.04E+00,,
1067,5.20E+00,,
1068,5.20E+00,,
1069,5.04E+00,,
