time_s,speed_rpm,current_A,back_emf_V,T_em_Nm,T_fan_Nm,P_fan_out_W,P_copper_W,P_eddy_W,P_hysteresis_W,P_mec_W,P_in_W,efficiency
0.00670,3342.20,0.00000,0.51811,0.000000,0.002607,0.912305,0.000000,0.003689,0.002958,2.632057,0.000000,0.0000
0.00680,3464.54,14.99675,0.50230,0.021523,0.002450,0.888844,545.880353,0.003964,0.003066,2.648439,44.990250,0.0198
0.00690,3358.66,0.00000,0.52068,0.000000,0.002633,0.925919,0.000000,0.003726,0.002973,2.657623,0.000000,0.0000
0.00700,3480.17,14.98189,0.50477,0.021501,0.002474,0.901672,544.799349,0.004000,0.003080,2.672955,44.945681,0.0201
0.00710,3373.70,0.00000,0.52303,0.000000,0.002656,0.938479,0.000000,0.003759,0.002986,2.681094,0.000000,0.0000
0.00720,3494.46,14.96832,0.50703,0.021482,0.002496,0.913502,543.812454,0.004033,0.003093,2.695457,44.904953,0.0203
0.00730,3387.45,0.00000,0.52518,0.000000,0.002678,0.950054,0.000000,0.003790,0.002998,2.702630,0.000000,0.0000
0.00740,3507.51,14.95591,0.50910,0.021464,0.002517,0.924401,542.911533,0.004063,0.003104,2.716097,44.867741,0.0206
0.00750,3400.01,0.00000,0.52714,0.000000,0.002698,0.960711,0.000000,0.003818,0.003009,2.722381,0.000000,0.0000
0.00760,3519.43,14.94458,0.51099,0.021448,0.002535,0.934432,542.089147,0.004091,0.003115,2.735022,44.833746,0.0208
0.00770,3411.48,0.00000,0.52893,0.000000,0.002717,0.970516,0.000000,0.003844,0.003019,2.740485,0.000000,0.0000
0.00780,3530.32,14.93423,0.51271,0.021433,0.002553,0.943659,541.338490,0.004116,0.003124,2.752365,44.802694,0.0211
0.00790,3421.96,0.00000,0.53057,0.000000,0.002733,0.979529,0.000000,0.003867,0.003029,2.757073,0.000000,0.0000
0.00800,3540.26,14.92478,0.51428,0.021419,0.002568,0.952138,540.653339,0.004139,0.003133,2.768253,44.774332,0.0213
0.00810,3431.52,0.00000,0.53206,0.000000,0.002749,0.987810,0.000000,0.003889,0.003037,2.772266,0.000000,0.0000
0.00820,3549.34,14.91614,0.51572,0.021407,0.002583,0.959926,540.028007,0.004161,0.003141,2.782802,44.748431,0.0215
0.00830,3440.26,0.00000,0.53343,0.000000,0.002763,0.995412,0.000000,0.003909,0.003045,2.786176,0.000000,0.0000
0.00840,3557.63,14.90826,0.51704,0.021396,0.002596,0.967074,539.457294,0.004180,0.003149,2.796121,44.724780,0.0216
0.00850,3448.24,0.00000,0.53468,0.000000,0.002776,1.002387,0.000000,0.003927,0.003052,2.798909,0.000000,0.0000
0.00860,3565.21,14.90106,0.51823,0.021385,0.002608,0.973632,538.936448,0.004198,0.003155,2.808309,44.703184,0.0218
0.00870,3455.52,0.00000,0.53581,0.000000,0.002788,1.008785,0.000000,0.003943,0.003058,2.810559,0.000000,0.0000
0.00880,3572.12,14.89449,0.51933,0.021376,0.002619,0.979645,538.461129,0.004214,0.003161,2.819460,44.683466,0.0219
0.00890,3462.17,0.00000,0.53685,0.000000,0.002799,1.014649,0.000000,0.003959,0.003064,2.821216,0.000000,0.0000
0.00900,3578.43,14.88849,0.52033,0.021367,0.002629,0.985156,538.027371,0.004229,0.003167,2.829660,44.665465,0.0221
0.00910,3468.24,0.00000,0.53780,0.000000,0.002808,1.020023,0.000000,0.003973,0.003070,2.830963,0.000000,0.0000
0.00920,3584.19,14.88301,0.52124,0.021360,0.002638,0.990206,537.631550,0.004243,0.003172,2.838987,44.649032,0.0222
0.00930,3473.78,0.00000,0.53867,0.000000,0.002818,1.024944,0.000000,0.003985,0.003074,2.839875,0.000000,0.0000
0.00940,3589.45,14.87801,0.52207,0.021352,0.002647,0.994830,537.270359,0.004255,0.003177,2.847514,44.634031,0.0223
0.00950,3478.84,0.00000,0.53946,0.000000,0.002826,1.029451,0.000000,0.003997,0.003079,2.848022,0.000000,0.0000
0.00960,3594.25,14.87345,0.52283,0.021346,0.002654,0.999063,536.940774,0.004266,0.003181,2.855309,44.620339,0.0224
0.00970,3483.46,0.00000,0.54018,0.000000,0.002833,1.033575,0.000000,0.004008,0.003083,2.855468,0.000000,0.0000
0.00980,3598.63,14.86928,0.52353,0.021340,0.002661,1.002937,536.640037,0.004277,0.003185,2.862433,44.607842,0.0225
0.00990,3487.67,0.00000,0.54084,0.000000,0.002840,1.037349,0.000000,0.004017,0.003087,2.862273,0.000000,0.0000
0.01000,3602.63,14.86548,0.52416,0.021334,0.002668,1.006482,536.365629,0.004286,0.003188,2.868942,44.596435,0.0226
0.01010,3491.52,0.00000,0.54144,0.000000,0.002847,1.040802,0.000000,0.004026,0.003090,2.868490,0.000000,0.0000
0.01020,3606.27,14.86201,0.52474,0.021329,0.002674,1.009724,536.115247,0.004295,0.003192,2.874890,44.586025,0.0226
0.01030,3495.03,0.00000,0.54199,0.000000,0.002852,1.043960,0.000000,0.004034,0.003093,2.874171,0.000000,0.0000
0.01040,3609.60,14.85884,0.52527,0.021325,0.002679,1.012689,535.886793,0.004303,0.003195,2.880323,44.576524,0.0227
0.01050,3498.23,0.00000,0.54249,0.000000,0.002858,1.046847,0.000000,0.004042,0.003096,2.879359,0.000000,0.0000
0.01060,3612.64,14.85595,0.52575,0.021321,0.002684,1.015400,535.678350,0.004310,0.003197,2.885286,44.567854,0.0228
0.01070,3501.15,0.00000,0.54294,0.000000,0.002862,1.049487,0.000000,0.004048,0.003099,2.884099,0.000000,0.0000
0.01080,3615.42,14.85331,0.52619,0.021317,0.002688,1.017878,535.488166,0.004317,0.003200,2.889818,44.559942,0.0228
0.01090,3503.82,0.00000,0.54336,0.000000,0.002867,1.051899,0.000000,0.004055,0.003101,2.888427,0.000000,0.0000
0.01100,3617.95,14.85091,0.52659,0.021313,0.002693,1.020143,535.314645,0.004323,0.003202,2.893957,44.552721,0.0229
0.01110,3506.25,0.00000,0.54374,0.000000,0.002871,1.054104,0.000000,0.004060,0.003103,2.892379,0.000000,0.0000
0.01120,3620.26,14.84871,0.52695,0.021310,0.002696,1.022213,535.156328,0.004328,0.003204,2.897737,44.546133,0.0229
0.01130,3508.47,0.00000,0.54409,0.000000,0.002875,1.056118,0.000000,0.004065,0.003105,2.895988,0.000000,0.0000
0.01140,3622.36,14.84671,0.52729,0.021307,0.002700,1.024104,535.011885,0.004333,0.003206,2.901188,44.540121,0.0230
0.01150,3510.50,0.00000,0.54440,0.000000,0.002878,1.057959,0.000000,0.004070,0.003107,2.899283,0.000000,0.0000
0.01160,3624.29,14.84488,0.52759,0.021305,0.002703,1.025832,534.880101,0.004338,0.003208,2.904338,44.534635,0.0230
0.01170,3512.35,0.00000,0.54469,0.000000,0.002881,1.059640,0.000000,0.004074,0.003109,2.902292,0.000000,0.0000
0.01180,3626.04,14.84321,0.52787,0.021302,0.002706,1.027410,534.759867,0.004342,0.003209,2.907215,44.529629,0.0231
0.01190,3514.04,0.00000,0.54496,0.000000,0.002884,1.061176,0.000000,0.004078,0.003110,2.905038,0.000000,0.0000
0.01200,3627.64,14.84169,0.52812,0.021300,0.002708,1.028851,534.650173,0.004346,0.003211,2.909841,44.525062,0.0231
0.01210,3515.58,0.00000,0.54520,0.000000,0.002886,1.062578,0.000000,0.004082,0.003111,2.907545,0.000000,0.0000
0.01220,3629.10,14.84030,0.52835,0.021298,0.002711,1.030167,534.550095,0.004350,0.003212,2.912237,44.520894,0.0231
0.01230,3516.98,0.00000,0.54542,0.000000,0.002889,1.063859,0.000000,0.004085,0.003113,2.909833,0.000000,0.0000
0.01240,3630.43,14.83903,0.52857,0.021296,0.002713,1.031369,534.458791,0.004353,0.003213,2.914425,44.517092,0.0232
0.01250,3518.26,0.00000,0.54562,0.000000,0.002891,1.065028,0.000000,0.004088,0.003114,2.911922,0.000000,0.0000
0.01260,3631.65,14.83787,0.52876,0.021295,0.002715,1.032467,534.375491,0.004356,0.003214,2.916422,44.513623,0.0232
0.01270,3519.43,0.00000,0.54580,0.000000,0.002893,1.066096,0.000000,0.004091,0.003115,2.913828,0.000000,0.0000
0.01280,3632.76,14.83682,0.52893,0.021293,0.002717,1.033469,534.299495,0.004358,0.003215,2.918244,44.510457,0.0232
0.01290,3520.50,0.00000,0.54597,0.000000,0.002894,1.067071,0.000000,0.004093,0.003116,2.915568,0.000000,0.0000
0.01300,3633.77,14.83586,0.52909,0.021292,0.002718,1.034383,534.230162,0.004361,0.003216,2.919908,44.507569,0.0232
0.01310,3521.47,0.00000,0.54612,0.000000,0.002896,1.067960,0.000000,0.004095,0.003117,2.917155,0.000000,0.0000
0.01320,3634.70,14.83498,0.52924,0.021291,0.002720,1.035218,534.166909,0.004363,0.003217,2.921426,44.504934,0.0233
0.01330,3522.36,0.00000,0.54626,0.000000,0.002897,1.068773,0.000000,0.004098,0.003117,2.918604,0.000000,0.0000
0.01340,3635.54,14.83418,0.52937,0.021289,0.002721,1.035981,534.109203,0.004365,0.003218,2.922811,44.502530,0.0233
0.01350,3523.17,0.00000,0.54638,0.000000,0.002899,1.069514,0.000000,0.004099,0.003118,2.919927,0.000000,0.0000
0.01360,3636.31,14.83345,0.52950,0.021288,0.002722,1.036676,534.056557,0.004367,0.003218,2.924075,44.500337,0.0233
0.01370,3523.91,0.00000,0.54650,0.000000,0.002900,1.070191,0.000000,0.004101,0.003119,2.921133,0.000000,0.0000
0.01380,3637.01,14.83278,0.52961,0.021287,0.002724,1.037311,534.008528,0.004369,0.003219,2.925229,44.498336,0.0233
0.01390,3524.58,0.00000,0.54660,0.000000,0.002901,1.070809,0.000000,0.004103,0.003119,2.922235,0.000000,0.0000
0.01400,3637.65,14.83217,0.52971,0.021287,0.002725,1.037891,533.964712,0.004370,0.003219,2.926281,44.496510,0.0233
0.01410,3525.20,0.00000,0.54670,0.000000,0.002902,1.071373,0.000000,0.004104,0.003120,2.923239,0.000000,0.0000
0.01420,3638.23,14.83161,0.52980,0.021286,0.002726,1.038420,533.924737,0.004372,0.003220,2.927242,44.494845,0.0233
0.01430,3525.76,0.00000,0.54679,0.000000,0.002903,1.071887,0.000000,0.004105,0.003120,2.924156,0.000000,0.0000
0.01440,3638.76,14.83111,0.52989,0.021285,0.002726,1.038903,533.888269,0.004373,0.003220,2.928118,44.493325,0.0233
0.01450,3526.27,0.00000,0.54687,0.000000,0.002904,1.072357,0.000000,0.004107,0.003121,2.924993,0.000000,0.0000
0.01460,3639.25,14.83065,0.52996,0.021284,0.002727,1.039343,533.855000,0.004374,0.003221,2.928918,44.491939,0.0234
0.01470,3526.74,0.00000,0.54694,0.000000,0.002905,1.072785,0.000000,0.004108,0.003121,2.925756,0.000000,0.0000
0.01480,3639.69,14.83022,0.53003,0.021284,0.002728,1.039745,533.824648,0.004375,0.003221,2.929648,44.490674,0.0234
0.01490,3527.16,0.00000,0.54701,0.000000,0.002905,1.073176,0.000000,0.004109,0.003122,2.926453,0.000000,0.0000
0.01500,3640.10,14.82984,0.53010,0.021283,0.002729,1.040112,533.796959,0.004376,0.003222,2.930313,44.489520,0.0234
0.01510,3527.55,0.00000,0.54707,0.000000,0.002906,1.073533,0.000000,0.004110,0.003122,2.927088,0.000000,0.0000
0.01520,3640.47,14.82949,0.53015,0.021283,0.002729,1.040447,533.771698,0.004377,0.003222,2.930921,44.488468,0.0234
0.01530,3527.91,0.00000,0.54712,0.000000,0.002907,1.073859,0.000000,0.004110,0.003122,2.927668,0.000000,0.0000
0.01540,3640.80,14.82917,0.53021,0.021282,0.002730,1.040753,533.748653,0.004378,0.003222,2.931475,44.487507,0.0234
0.01550,3528.23,0.00000,0.54718,0.000000,0.002907,1.074156,0.000000,0.004111,0.003123,2.928197,0.000000,0.0000
0.01560,3641.11,14.82888,0.53026,0.021282,0.002730,1.041031,533.727629,0.004378,0.003223,2.931981,44.486631,0.0234
0.01570,3528.53,0.00000,0.54722,0.000000,0.002908,1.074427,0.000000,0.004112,0.003123,2.928680,0.000000,0.0000
0.01580,3641.39,14.82861,0.53030,0.021281,0.002731,1.041286,533.708450,0.004379,0.003223,2.932442,44.485832,0.0234
0.01590,3528.80,0.00000,0.54726,0.000000,0.002908,1.074674,0.000000,0.004113,0.003123,2.929120,0.000000,0.0000
0.01600,3641.65,14.82837,0.53034,0.021281,0.002731,1.041518,533.690953,0.004380,0.003223,2.932863,44.485102,0.0234
0.01610,3529.04,0.00000,0.54730,0.000000,0.002909,1.074900,0.000000,0.004113,0.003123,2.929522,0.000000,0.0000
0.01620,3641.88,14.82815,0.53038,0.021281,0.002731,1.041730,533.674990,0.004380,0.003223,2.933247,44.484437,0.0234
