Sequence,Volt,Volt,-3.00E-02,5.00E-05
289,1.52E+00,1.36E+01,,
290,1.76E+00,1.36E+01,,
291,1.52E+00,1.52E+01,,
292,1.68E+00,1.44E+01,,
293,1.44E+00,1.28E+01,,
294,1.60E+00,1.36E+01,,
295,1.36E+00,1.20E+01,,
296,1.52E+00,1.36E+01,,
297,1.28E+00,1.12E+01,,
298,1.28E+00,1.12E+01,,
299,1.44E+00,1.28E+01,,
300,1.44E+00,1.20E+01,,
301,1.20E+00,1.04E+01,,
302,1.36E+00,1.12E+01,,
303,1.12E+00,9.60E+00,,
304,1.28E+00,1.12E+01,,
305,1.04E+00,8.80E+00,,
306,1.04E+00,1.04E+01,,
307,1.20E+00,8.00E+00,,
308,1.20E+00,9.60E+00,,
309,9.60E-01,8.00E+00,,
310,1.12E+00,8.80E+00,,
311,8.80E-01,7.20E+00,,
312,1.04E+00,8.00E+00,,
313,8.00E-01,6.40E+00,,
314,9.60E-01,8.00E+00,,
315,7.20E-01,5.60E+00,,
316,7.20E-01,7.20E+00,,
317,8.80E-01,4.80E+00,,
318,5.60E-01,6.40E+00,,
319,8.00E-01,4.00E+00,,
320,7.20E-01,5.60E+00,,
321,4.80E-01,4.00E+00,,
322,6.40E-01,4.80E+00,,
323,4.00E-01,3.20E+00,,
324,5.60E-01,4.00E+00,,
325,3.20E-01,2.40E+00,,
326,4.80E-01,4.00E+00,,
327,2.40E-01,1.60E+00,,
328,4.00E-01,3.20E+00,,
329,2.40E-01,8.00E-01,,
330,3.20E-01,2.40E+00,,
331,1.60E-01,0.00E+00,,
332,2.40E-01,1.60E+00,,
333,8.00E-02,-8.00E-01,,
334,1.60E-01,-8.00E-01,,
335,0.00E+00,8.00E-01,,
336,1.60E-01,0.00E+00,,
337,-8.00E-02,-1.60E+00,,
338,8.00E-02,-8.00E-01,,
339,-1.60E-01,-2.40E+00,,
340,0.00E+00,-1.60E+00,,
341,-2.40E-01,-3.20E+00,,
342,-8.00E-02,-1.60E+00,,
343,-2.40E-01,-4.00E+00,,
344,-3.20E-01,-2.40E+00,,
345,-1.60E-01,-4.80E+00,,
346,-2.40E-01,-3.20E+00,,
347,-4.00E-01,-5.60E+00,,
348,-2.40E-01,-5.60E+00,,
