X,CH1,Start,Increment
Sequence,Volt,-3.00E-02,5.00E-05
840,4.00E-02,,
841,-8.00E-02,,
842,4.00E-02,,
843,-8.00E-02,,
844,-8.00E-02,,
845,4.00E-02,,
846,4.00E-02,,
847,-8.00E-02,,
848,4.00E-02,,
849,-8.00E-02,,
850,-8.00E-02,,
851,4.00E-02,,
852,4.00E-02,,
853,-8.00E-02,,
854,-8.00E-02,,
855,4.00E-02,,
856,-8.00E-02,,
857,4.00E-02,,
858,-8.00E-02,,
859,4.00E-02,,
860,4.00E-02,,
861,-8.00E-02,,
862,-8.00E-02,,
863,4.00E-02,,
864,-8.00E-02,,
865,4.00E-02,,
866,4.00E-02,,
867,-8.00E-02,,
868,-8.00E-02,,
869,4.00E-02,,
870,-8.00E-02,,
871,4.00E-02,,
872,-8.00E-02,,
873,4.00E-02,,
874,-8.00E-02,,
875,4.00E-02,,
876,4.00E-02,,
877,-8.00E-02,,
878,4.00E-02,,
879,-8.00E-02,,
880,4.00E-02,,
881,-8.00E-02,,
882,4.00E-02,,
883,-8.00E-02,,
884,4.00E-02,,
885,-8.00E-02,,
886,4.00E-02,,
887,-8.00E-02,,
888,4.00E-02,,
889,-8.00E-02,,
890,4.00E-02,,
891,-8.00E-02,,
892,4.00E-02,,
893,-8.00E-02,,
894,4.00E-02,,
895,-8.00E-02,,
896,4.00E-02,,
897,-4.00E-02,,
898,4.00E-02,,
899,-8.00E-02,,
900,4.00E-02,,
901,-8.00E-02,,
902,4.00E-02,,
903,-8.00E-02,,
904,4.00E-02,,
905,-8.00E-02,,
906,4.00E-02,,
907,-8.00E-02,,
908,4.00E-02,,
909,-8.00E-02,,
910,4.00E-02,,
911,-8.00E-02,,
912,4.00E-02,,
913,-8.00E-02,,
914,4.00E-02,,
915,-4.00E-02,,
916,-8.00E-02,,
917,4.00E-02,,
918,-4.00E-02,,
919,4.00E-02,,
920,4.00E-02,,
921,-8.00E-02,,
922,4.00E-02,,
923,-8.00E-02,,
924,4.00E-02,,
925,-8.00E-02,,
926,-8.00E-02,,
927,4.00E-02,,
928,-8.00E-02,,
929,4.00E-02,,
930,4.00E-02,,
931,-8.00E-02,,
932,-4.00E-02,,
933,4.00E-02,,
934,4.00E-02,,
935,-4.00E-02,,
936,4.00E-02,,
937,-8.00E-02,,
938,-4.00E-02,,
939,4.00E-02,,
940,-4.00E-02,,
941,4.00E-02,,
942,4.00E-02,,
943,-4.00E-02,,
944,4.00E-02,,
945,-8.00E-02,,
946,-4.00E-02,,
947,4.00E-02,,
948,-4.00E-02,,
949,4.00E-02,,
950,-4.00E-02,,
951,4.00E-02,,
952,-4.00E-02,,
953,4.00E-02,,
954,0.00E+00,,
955,-4.00E-02,,
956,-4.00E-02,,
957,4.00E-02,,
958,-4.00E-02,,
959,4.00E-02,,
960,-4.00E-02,,
961,4.00E-02,,
962,-4.00E-02,,
963,4.00E-02,,
964,-4.00E-02,,
965,4.00E-02,,
966,-4.00E-02,,
967,4.00E-02,,
968,-4.00E-02,,
969,4.00E-02,,
970,-4.00E-02,,
971,4.00E-02,,
972,4.00E-02,,
973,-8.00E-02,,
974,4.00E-02,,
975,-8.00E-02,,
976,-4.00E-02,,
977,4.00E-02,,
978,-4.00E-02,,
979,4.00E-02,,
980,-4.00E-02,,
981,4.00E-02,,
982,-4.00E-02,,
983,4.00E-02,,
984,-4.00E-02,,
985,4.00E-02,,
986,-4.00E-02,,
987,4.00E-02,,
988,-4.00E-02,,
989,4.00E-02,,
990,-4.00E-02,,
991,4.00E-02,,
992,-4.00E-02,,
993,4.00E-02,,
994,4.00E-02,,
995,-8.00E-02,,
996,-4.00E-02,,
997,4.00E-02,,
998,4.00E-02,,
999,-4.00E-02,,
1000,-4.00E-02,,
1001,2.72E+00,,
1002,2.76E+00,,
1003,3.92E+00,,
1004,3.96E+00,,
1005,4.48E+00,,
1006,4.40E+00,,
1007,4.72E+00,,
1008,4.64E+00,,
1009,4.84E+00,,
1010,4.76E+00,,
1011,4.88E+00,,
1012,4.80E+00,,
1013,4.96E+00,,
1014,4.88E+00,,
1015,4.96E+00,,
1016,4.88E+00,,
1017,5.00E+00,,
1018,5.00E+00,,
1019,4.92E+00,,
1020,4.92E+00,,
1021,5.00E+00,,
1022,4.92E+00,,
1023,5.00E+00,,
1024,4.92E+00,,
1025,5.00E+00,,
1026,5.00E+00,,
1027,4.92E+00,,
1028,5.00E+00,,
1029,4.92E+00,,
1030,5.00E+00,,
1031,4.92E+00,,
1032,5.00E+00,,
1033,4.92E+00,,
1034,5.00E+00,,
1035,4.92E+00,,
1036,5.00E+00,,
1037,4.92E+00,,
1038,5.00E+00,,
1039,4.92E+00,,
1040,4.92E+00,,
1041,5.04E+00,,
1042,4.92E+00,,
1043,5.04E+00,,
1044,4.92E+00,,
1045,5.04E+00,,
1046,5.04E+00,,
1047,4.92E+00,,
1048,5.04E+00,,
1049,4.92E+00,,
1050,4.92E+00,,
